Date,Song,Artist,Peak Position,Weeks in Charts
2024-08-28,Die With A Smile,Lady Gaga & Bruno Mars,1,-
2024-02-22,Different 'Round Here,Riley Green Featuring Luke Combs,60,11
2024-08-28,Dirt Cheap,Cody Johnson,43,18
2024-08-14,Dirty,Jessie Murph With Teddy Swims,1,-
2024-02-28,Do It,¥$: Kanye West & Ty Dolla $ign,52,2
2024-03-13,Doctor (Work It Out),Pharrell & Miley Cyrus,1,-
2024-03-27,Don't Wanna Break Up Again,Ariana Grande,28,2
2024-03-06,Dont Let Me Go,mgk,1,-
2024-08-21,Double Life,Pharrell Williams,1,-
2024-07-17,Down Bad,Taylor Swift,2,12
2023-10-25,Drew A Picasso,Drake,27,2
2024-04-24,Drink N Dance,Future & Metro Boomin,1,-
2023-10-11,East Side Of Sorrow,Zach Bryan,18,6
2024-03-06,Easy,LE SSERAFIM,1,-
2024-01-31,El Amor de Su Vida,Grupo Frontera & Grupo Firme,67,20
2023-09-20,El Dorado,Zach Bryan,31,3
2023-10-04,El Jefe,Shakira X Fuerza Regida,1,-
2024-04-03,Empire Now,Hozier,1,-
2024-07-17,End Of Beginning,Djo,11,21
2024-06-26,Enough (Miami),Cardi B,9,14
2024-08-28,Espresso,Sabrina Carpenter,3,19
2024-04-03,Eternal Sunshine,Ariana Grande,23,3
2024-08-21,Euphoria,Kendrick Lamar,3,16
2024-08-28,Evergreen,Richy Mitch And The Coal Miners,83,2
2024-05-01,Everybody,Nicki Minaj Featuring Lil Uzi Vert,24,20
2024-04-10,Everyday Hustle,Future| Metro Boomin & Rick Ross,38,2
2023-12-20,Everything I Love,Morgan Wallen,14,42
2023-12-13,Everywhere; Everything,Noah Kahan With Gracie Abrams,1,-
2024-07-24,Evil,Eminem,1,-
2023-11-29,Evil Ways,Drake Featuring J. Cole,1,-
2024-04-10,Exes,Tate McRae,34,20
2024-06-19,FE!N,Travis Scott Featuring Playboi Carti,5,32
2024-03-27,FRI(END)S,V,1,-
2024-05-01,FTCU,Nicki Minaj,15,20
2024-02-07,Facts,Tom MacDonald X Ben Shapiro,1,-
2023-12-20,Fallin 4 U,Nicki Minaj,1,-
2024-06-19,Family Matters,Drake,7,6
2024-04-24,Fast Car,Luke Combs,2,56
2023-09-20,Fear And Friday's,Zach Bryan,24,3
2023-09-06,Fear And Friday's (Poem),Zach Bryan,1,-
2023-11-01,Fear Of Heights,Drake,10,3
2024-08-21,Feather,Sabrina Carpenter,21,37
2024-05-08,Feel It,d4vd,94,3
2024-01-03,Feliz Navidad,Jose Feliciano,6,32
2024-08-28,Femininomenon,Chappell Roan,66,5
2024-04-17,Fever,J. Cole,1,-
2024-08-21,Field Trip,¥$: Kanye West & Ty Dolla $ign Featuring Playboi Carti| Kodak Black & Don Toliver,48,2
2023-09-27,Fight The Feeling,Rod Wave,16,20
2023-11-15,Fina,Bad Bunny & Young Miko,14,4
2024-08-28,Finer Things,Post Malone Featuring Hank Williams Jr.,1,-
2024-02-14,First Love,Oscar Ortiz X Edgardo Nunez,91,3
2024-02-28,First Person Shooter,Drake Featuring J. Cole,1,20
2024-04-10,Flamenco,Beyonce,1,-
2024-06-12,Florida!!!,Taylor Swift Featuring Florence + The Machine,8,7
2024-03-13,Flowers,Miley Cyrus,1,55
2024-03-13,Forever,Noah Kahan,28,4
2024-08-28,Fortnight,Taylor Swift Featuring Post Malone,1,18
2024-05-22,Fresh Out The Slammer,Taylor Swift,11,4
2024-08-14,Fried,¥$: Kanye West & Ty Dolla $ign,1,-
2024-04-10,Fried (She A Vibe),Future & Metro Boomin,33,2
2024-06-26,Front Door Famous,Luke Combs,1,-
2024-07-31,Fuel,Eminem & JID,21,2
2024-03-20,Fuk Sumn,¥$: Ye & Ty Dolla $ign,23,5
2024-02-14,Fukumean,Gunna,4,32
2024-07-17,Funny Man,Zach Bryan,1,-
2024-04-03,GTA,Future & Metro Boomin,1,-
2024-08-28,Gata Only,FloyyMenor X Cris Mj,27,23
2023-11-01,Gently,Drake Featuring Bad Bunny,12,3
2024-01-31,Get Him Back!,Olivia Rodrigo,11,20
2024-06-26,Get In With Me,BossMan DLow,49,20
2024-08-07,Get It Sexyy,Sexyy Red,20,20
2023-11-08,Ghostbusters,Ray Parker Jr.,24,-
2023-10-04,Girl In Mine,Parmalee,81,9
